term_type,term,n_yes,repeat_rate_yes,repeat_rate_no,expected_value_yes,expected_value_no,expected_value_difference,corr_with_expected_value,n_returners_yes,mean_log_amount_yes,mean_log_amount_no,log_amount_difference,corr_with_log_amount_returners
project-only,SCHOOL_STATE x CATEGORY=MT | Technology,1609,0.163455562461156,0.13967172039393552,27.767650714729648,20.26090542067349,7.506745294056156,0.0005373944009138723,263,4.095140580936413,3.928134150348511,0.16700643058790243,0.004057817821427456
project-plus-gift-size,GRADE_LEVEL x gift_decile=Grades 6-8 | 5,68885,0.14711475647818828,0.13944448462305886,13.001403788923568,20.506199433018548,-7.50479564409498,-0.0034600160223394114,10134,4.014887898141896,3.9252653498535923,0.08962254828830352,0.01329379929081489
project-plus-gift-size,SCHOOL_STATE x gift_decile=WA | 4,1408,0.14133522727272727,0.13968838847607098,12.780191761363636,20.27139602556584,-7.491204264202203,-0.0005016913954567651,199,3.7993797420653306,3.928365134098707,-0.12898539203337656,-0.0027264322263175133
project-only,SCHOOL_STATE x CATEGORY=OH | Other,3890,0.13573264781491,0.13969661302414332,27.696401028277634,20.25308073226085,7.443320296016783,0.0008280851499799959,528,3.909124051663662,3.9283135673543836,-0.01918951569072158,-0.0006603454697176287
project-only,SUBJECT_CATEGORY x GRADE_LEVEL=Health & Wellness | Grades 9-12,4015,0.12029887920298879,0.13972562778449524,12.839516811955168,20.28035721900492,-7.440840407049752,-0.0008409799553220894,483,3.967593987259163,3.9282168093843945,0.03937717787476824,0.0012961070366291911
project-only,SUBJECT_CATEGORY x CATEGORY=Special Needs | Trips,1457,0.14344543582704186,0.13968692453627687,27.671523678792035,20.261499800262325,7.41002387852971,0.000504810212843065,209,4.020636526976037,3.9282158244205054,0.09242070255553125,0.002001994299495164
project-only,SUBJECT_CATEGORY x CATEGORY=Economics | Technology,1322,0.13767019667170954,0.13969070203974832,27.661376701966713,20.261970125198214,7.399406576768499,0.0004801809966866636,182,3.75577663401329,3.928384207669441,-0.1726075736561512,-0.0034892769575742932
project-plus-gift-size,SCHOOL_STATE x gift_decile=AZ | 5,7680,0.148828125,0.1396568058130272,12.918555989583332,20.292764091453925,-7.374208101870593,-0.001151719924473488,1143,4.007334520713238,3.927978876816483,0.07935564389675509,0.004013716271500873
project-only,SCHOOL_STATE x CATEGORY=OK | Supplies,12611,0.16525255729125365,0.13953911368159191,27.56917056537943,20.223554806445186,7.345615758934244,0.0014684360773707876,2084,4.038578227178897,3.927511672892696,0.11106655428620105,0.0075734892411931575
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Mathematics | 5,60251,0.14590629201175084,0.13951080188101023,13.143816700137757,20.471200257758877,-7.32738355762112,-0.0031659501415423675,8791,4.017759817429513,3.92559054512553,0.09216927230398309,0.012762802034200616
project-plus-gift-size,SCHOOL_STATE x gift_decile=DE | 5,983,0.14954221770091555,0.13968497092264082,12.998453713123093,20.269819667956366,-7.271365954833273,-0.00040692958020112943,147,4.041160119158431,3.928224834112261,0.11293528504617001,0.002051887096928352
project-plus-gift-size,SCHOOL_STATE x gift_decile=MI | 4,1740,0.14597701149425288,0.1396843869545123,13.00571264367816,20.272368011975622,-7.266655368297462,-0.0005409528623286912,254,3.7193360044762285,3.9284562402021987,-0.20912023572597027,-0.004993452089807234
project-plus-gift-size,SCHOOL_STATE x gift_decile=MI | 7,6403,0.17679212868967673,0.13957898623546247,27.497185694205843,20.244975429935437,7.252210264270406,0.001034527428483954,1132,4.504913889819338,3.926105178062051,0.5788087117572873,0.029134794880584323
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Social Sciences | 5,4103,0.1525712893005118,0.13966491087160615,13.054555203509626,20.280251532856003,-7.225696329346377,-0.000825548262226924,626,4.000610332512375,3.928129336180763,0.07248099633161198,0.002715381030032416
